company_name,job_title,job_role,job_requirement,salary
CFB BOTS PTE. LTD.,Robotic Process Automation Consultant," Facilitating workshops, working with process owners/SMEs and technology teams to analyse and assess automation feasibility, as well as documenting business requirements, processes and work instructions Operating as a business consultant and recommending process automation improvements Compiling costs required for RPA implementation and calculating business benefits Designing and implementing Robotics Process Automation solutions to deliver against business requirements, software and industry best practices Designing insightful reporting for business process improvement and benefit realization Carrying out end-to-end testing, troubleshooting and training of software robots and programmed automations Supporting and driving change management of existing processes Developing and ensuring governance for software robotics Developing internal and external training materials Educating and presenting RPA implementation strategies across a wide spectrum of audiences Participating in the development of new offerings and innovation in the automation space Undergoing training on RPA tools and automation best practices Fulfil any other duties diligently as and when assigned by the management  What You Will Learn If you can thrive in the uncertain and fast-paced nature of a startup, you will have an exponential learning curve. You will wear different hats and enjoy the privilege of gaining a full understanding of the industry we operate in. Some things you will gain:  Become a RPA expert, one respected by industry and clients alike Gain proficiency in multiple RPA tools, thus enhancing your own marketability in this industry Gain exposure to the latest industry trends and technologies Opportunity to be involved in the entire project lifecycle, and to be able to see your hard work come into fruition Opportunity to demonstrate your capabilities, and to take on more responsibilities (with commensurate compensation) Chance to be the difference Be part of an up-and-coming startup in a sunrise industry Have a mentor who will guide you in your personal and career development  Our Team We are a small family of dreamers and doers, driven by the same vision: to bring about positive changes to the lives of billions of employees all around the world. We are a company that empowers people. Instead of rules, we have five core values to guide you to do what you do best. We believe it is important to focus on our core competencies, to solve customer problems, to provide easy and affordable solutions, to execute fast, and to learn continuously. The people in our company are resilient, self-motivated, and out to make a difference."," Degree/Diploma in Computer Science or Engineering with process analysis, requirements gathering and programming background Preferably at least 2 years of relevant professional experience Strong client relationship skills, including an ability to independently engage with clients Strong people and project management experience Strong analytical skills and logical approach Ability to work both independently and as part of a team with professionals at all levels Strong commitment to professional and service excellence Strong problem-solving skills and able to prioritise and manage multiple tasks Experience in Process Improvement methodologies such as Lean Management, Lean Six Sigma, Agile Management, Total Quality Management, etc Certification and experience in the major RPA tools (especially UiPath) is advantageous Proficiency and experience in programming (VB.NET, C#, JavaScript, HTML, CSS) is advantageous Good design, coding, testing and debugging skills ","$3,000 - $6,000"
GECO ASIA PTE. LTD.,Associate Consultant in Singapore,Job Summary: Role: Associate Consultant in Singapore Start: ASAP Duration: 6 Months Location: Singapore,"One of our clients is looking for a Associate Consultant, who is/are able to fulfill the following requirements:  Requirements: - Skills, requirements and experiences are needed for that position: ABAP , SAP HCM, Experience with APIs, SuccessFactors Roles and Responsibilities: - Coding in ABAP - Reading and processing APIs - Quality review - End to end Testing - Writing Technical Specifications - HCM Clusters and Info types Implementation - Facilitating Integration with SuccessFactors - RFC Destinations in ABAP Please send your application to applicants@geco.asia highlighting: - Your relevant experience - Current/expected salary - Availability information - A latest MS-WORD Resume  **We regret that only short-listed applicants will be contacted.** GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (http://www.geco-group.com/asia/privacy_policy) Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore. [GECO Asia Pte Ltd, Licence No. 07C4453] [8 Boon Lay Way, 8@TradeHub21, #07-15, Singapore 609964]",None
GECO ASIA PTE. LTD.,Oil & Gas Data Scientist in Singapore (90309),Job Summary: Role: Special / Oil & Gas Data Scientist in Singapore Start: ASAP Duration: 6-12 Months Location: Singapore,"One of our clients is looking for a Oil & Gas Data Scientist, who is/are able to fulfill the following requirements:  Requirements: Mandatory Skills: - Minimum 5 years of experience with the standard data science stack (python, numpy, scikit-learn, scipy, matplotlib, nltk, etc). - Ability to function in Linux operating system and development environment - Understanding of software development best practices a major plus. - Proven ability to apply analysis techniques (machine learning, applied math, statistics) in developing predictive and descriptive software models. Master's or Ph.D. in Science, Applied Math, Computer Science, or Engineering; Exceptional candidates with a Bachelor's degree specializing in data science will also be considered  Desired Skills: - In addition, familiarity with Keras, Tensorflow, Theano, C/C++, Hadoop, Spark and R would be a plus - Experience in relevant scientific disciplines (e.g. numerical methods, signal processing, statistics, mathematics, and optimization) also a plus - Data science experience in oil & gas industry will be an advantage  Roles and Responsibilities: - Collaborate with business users to identify, elaborate and prioritize Analytics Uses cases. - Processing, cleansing, and verifying the integrity of data used for analysis - Apply analytical rigor and statistical methods to analyze large amounts of data, using advanced analytics techniques   Please send your application to applicants@geco.asia highlighting:  - Your relevant experience - Current/expected salary - Availability information - A latest MS-WORD Resume   **We regret that only short-listed applicants will be contacted.**  GECO Asia values the data privacy rights of our customers, associates, partners and prospective applicants. We have a privacy policy that governs our collection and use of personal data in place. In conjunction with the new PDPA act in Singapore, we have updated our Privacy Policy and Terms of Use to better clarify our collection and use of your personal information. The same can be found here (http://www.geco-group.com/asia/privacy_policy) Note: GECO Asia is a German IT Services company and provides specialist IT resources on project and permanent basis. We operate under a Comprehensive Licence offered by MOM Singapore. [GECO Asia Pte Ltd, Licence No. 07C4453] [8 Boon Lay Way, 8@TradeHub21, #07-15, Singapore 609964]","$7,000 - $9,500"
LOURDES GAVIN PTE. LTD.,Warehouse Admin," Perform goods receiving and monitor inventory movement with SAP system Manage to call-in raw materials from 3rd party warehouse for daily production activity Working closely with shipping and planning department to ensure products be well prepared for shipment in a smooth and prompt way Document actions by completing forms such as non-conformance report, monthly write-off reports, and inventory movement records (include prepare document for internal and external auditing) Handle urgent issues such as customer return and shipment rescheduling Resolving system problems reported by other departments ", Min NITEC holder with 2 years of relevant experience in manufacturing environment Computer literate – MS Office and SAP Good Analytical & interpersonal skills Team player and able to work in fast pace environment  Interested applicants please submit your resume to joepster.lim@lourdesgavin.com,"$1,700 - $2,500"
NATIONAL UNIVERSITY HOSPITAL (SINGAPORE) PTE LTD,Medical Social Worker,"Your core duty involves direct practice and will include casework, counselling and therapeutic group work to patients and family members. You will work closely with multidisciplinary professionals, participate in ward rounds and organize case conferences to pursue holistic care for patients. You will participate in practice research and development of clinical social work. ","The Requirements  Degree in Social Work or Graduate Diploma in Social Work Post-graduate qualification in Counselling or Family Therapy will be an added advantage Competent in IT skills Committed and enjoy working as a team in a fast-paced and innovative environment         Interested applicants are invited to email a detailed resume stating your current and expected salary to alliedhealth@nuhs.edu.sg   Please indicate in the subject title as: ""Applying for position of Medical Social Worker, Medical Social Work”   We regret that only shortlisted candidates will be notified.","$3,100 - $6,000"
THATZ INTERNATIONAL PTE LTD,IT Call Centre Agents (Shift  /  Non-Shift)," To answer all hotline calls, emails or approved social media platform within SLA. To log all the incidents into the call management system. To provide efficient and timely support to end-users. To escalate any unresolved issue to 2nd and 3rd level of support for their attention and further resolution. To follow up on the progress of all outstanding issues until closure. Assist in ICT projects and other administrative tasks. ", Preferably with six months of ICT Helpdesk working experience. Those with at least 1-2 years of relevant experience will be considered for a senior position. Good command over written and spoken English. Excellent customer service skills. We provide hands-on training and buddy guidance for all new hires. Patient and a friendly person with a strong interest in providing Customer Service. Adaptability to work in multicultural environment. A strong team player. Willing to perform 12-hour Shift Work. ,"$1,800 - $2,700"
JTC Corporation,Deputy Director (Applications Development),"Job Responsibilities:
 
You will lead a team of Project Managers and vendors responsible for designing, building and maintaining critical Business and Customer applications. Your responsibilities will include:
·         Understand the business domain and its operations to drive the conceptualisation, development, delivery and continuation of the digital solutions;
·         Lead and participate in the understanding and gathering of requirements from internal and external stakeholders;
·         Actively scan the latest technology developments and recommend feasible solutions to bring value to the business and continuously improve current systems;
·         Understand internal digital architecture and ensure the technical designs of the business solutions integrate seamlessly and are in compliance to standards such as Government Instruction Manual and JTC standards and policies;
·         Lead the implementation of the digital strategy. Chart the capability development roadmap and strengthen the technical depth of the team.
·         Implement and enhance standard processes and procedures to minimise risks to business and cyber intrusions;
·         Manage and monitor the timely delivery of complex digital projects within approved time and budget
 
Requirements:
·         Tertiary qualification in Computer Science, Computer Engineering, Information Technology or related degree;
·         More than 10 years of relevant experience in IT project management and applications development, with at least 3 years in management position.
·         Strong communication and interpersonal skills to engage stakeholders and manage the team effectively
·         Result and customer oriented with the ability to multi-task effectively.
·         Strong interest in exploring new technologies and the desire to adopt them to improve the organisation’s effectiveness.
 ",None,Salary undisclosed
JOBFITTER LLP,Facilities Technician / Assistant Engineer," Must be responsive 24/7 to BMS alarm or facility issues Perform daily site logging of facility equipment and check for any abnormalities Monitoring and recording of electric/water consumption for any unusual surge or wastage, and to implement and improve on energy savings Replacement of lightings, and conduct regular tests to identify any irregularity to electrical systems Perform troubleshooting and repairing of Building defects, access control systems, CCTV, sanitary etc. Any ad-hoc jobs as per required requested by staffs Supervision of housekeeping staff and ensure that necessary supplies for cleaning and maintenance are maintained Conduct tests to ensure safety system such as fire bells, alarms are working Supervise construction of new facility or renovation of existing facility Able to communicate and liaise with contractors   ","Requirements:  Working timing: Monday to Friday, 8 AM to 5 PM Must have Singapore Certified Energy Manager (SCEM Certified) At least a Bachelor Degree Holder Hardworking, Meticulous, Initiative  Interested candidate, please contact 66598277 for more details.",None
NOVELTY PROJECT SERVICES PTE. LTD.,Interior Designer," Prepare design, artwork development and layout plans (elevations, details & perspective drawings) for projects. Establish design concept and meet the standard requirements. Follow up closely with customers in retrieving necessary information, approval and execution of new artwork and deadline. Perform quality check and records to ensure all artwork production are in quality standards.   Exercise proper control of file management system e.g. original data and versions of files. Maintain the work progress from time to time. Liaise with Operations Manager for any artwork and design issue. Liaise with contractors/suppliers for any material supplies. Ensure all designs, artworks & layouts are kept properly and back-up copies are made daily.  Perform any other duties as assigned and required.",Technical Skills  Diploma or ITE Cert holder  in Interior Design Proficient in Autocad as well as hand sketch designs Computer literate and proficient in Microsoft Office    Soft s    Soft Skills  Good command of English (both written and spoken) Independent and detail-oriented ,"$2,000 - $4,000"
LOURDES GAVIN PTE. LTD.,Quality & Risk Management Executive (Enterprise Risk Management)," Assist with the implementation and maintenance of Enterprise Risk Management (ERM) process for risk identification, assessment and treatment, reporting and monitoring of risk and safety incidents Assist with the execution and maintenance of a feedback mechanism for continuous improvement of the Enterprise Risk Management (ERM) process within the organization Assist the department in monitoring and providing oversight of safety and risk indicator, preparation of risk reports, data analysis and executive support to risk meetings and quality assurance committees Maintenance and monitoring of the risk management incident reporting system, follow-up on incidents through facilitation, coordination and review processes to ensure appropriate compliance to standards and guidelines Assist the organization to maintain and organize effective safety and risk programmes and provide support to various departments on Enterprise Risk Management (ERM) processes and policies "," Min Degree with 2 years of relevant working experience. Experience and understanding in lean management or continuous improvement methodologies. Experience and knowledge in risk management, healthcare and / or project management are preferred. Excellent interpersonal and communication skills to interact effectively with various stakeholders.  Strong command of spoken and written English Good analytical skills to review data and formulate written analysis  Interested applicants please submit your resume to joepster.lim@lourdesgavin.com","$3,000 - $4,500"
PERSONNEL LINK JOBHUB PTE. LTD.,Engineer (Object-oriented programming - OOP),Our client is looking for dynamic candidates to join their organization: Engineers (Object Oriented Programming)  Responsible for software development for OEM equipment  Work closely with System Engineers / end user to define the requirements for the creation of technical solutions  Responsible for project management related to partial or completed machine control program.  Able to work extended hours in critical phases of project execution ," Diploma / Degree in Electrical and Electronic Engineering / Computer Science/ Computer Engineering or related courses  Knowledge of C++ programming language.  At least 1 to 3 years software development experience.  Demonstrated ability to relay technical information to clients and users in layman terms.  Demonstrated strong analytic and problem-solving skills.  Excellent attention to detail and organization skills.  will need to travel for overseas assignment Salary                        : S$4000 to S$6000 Location                   : Ang Mo Kio / Bishan / Yio Chu Kang  Interested applicants please submit a detailed resume in MS word format stating your current, expected salary and notice period. Email to jazmin@personnellink.com.sg and cc to career@personnellink.com.sg","$4,000 - $6,000"
RECRUITFIRST PTE. LTD.,Payroll Executive,"The Role: - End-to-end processing of payroll for contractual staff and flexi workforce - Process of weekly, fortnightly and monthly payroll - Process all new hires, terminations, changes and leave applications - Ensuring correct data entry of hours and employee details - Prepare timely payroll reports - Engaging clients and contractual staff to resolve all payroll issues - Advisor on Singapore statutory laws, regulations and Employment Acts  We offer: - Great office environment in Ngee Ann City - Engaging and fun team culture - Immense training opportunities - Performance-based career progression path  2 Full-Time and Contract position(s) available.  We regret to inform only short-listed candidates will be notified.","Eligibility: - Diploma holders in any discipline - Analytical, meticulous, and have strong problem-solving skills - Ability to multitask, can deliver results ahead of deadlines - Team player, proactive and takes initiative - No work experience required.","$2,000 - $2,500"
DANISH BREWERIES PTE. LTD.,Sales Coordinator,"We are looking for passionate candidate to join the team with the mission of establishing and growing DRAFT sales and distributions.   The candidate will work in conjunction with the various channel sales & procurement team, from sourcing & planning promotions to executing the various plan for various sales channel.   - Implementation of Trade marketing activities mainly POS visibility promotions through seamless co-ordination with the sales team to synchronization in campaign schedule and brand positioning.   - Weekly review of the sales forecast and monitoring / improvement of the accuracy, review replenishment of stocks bases on sales pattern and delivery lead time from breweries with logistical optimization.   - Co-ordinate with breweries, suppliers, dealers & Logistic company to ensure timely delivery .","- Minimum ‘O’ level with 2 years relevant experience - Self – motivated and proactive. - Ability to multi-task and flexible in accommodating ad-hoc task.  - Responsible, independent and dependable. - Experience in visual brand merchandising. - Strong interpersonal & communication skills.   Interested applicants kindly send your CV to: careersdraftbeer@yahoo.com We regret that only shorlisted applicants will be contacted.","$2,100 - $2,900"
SARIKA CONNOISSEUR CAFE PTE LTD,HR Assistant,"S A R I K A * C O N N O I S S E U R * C A F E * P T E * L T D                                                                                      Corporate Shared Services       **            Vacancy : HR Assistant ( ADMIN ) JOB SUMMARY                                                                                                                                                                    ** To assist the HR Dept. in all General administrative duties.                                                                                           ** Thorough knowledge in MOM WPOL / EPOL systems.                                                                                                **   Work Week :.5 Day Week . QUALIFICATIONS                                                                                                                                                                * Candidate must possess at least a O level Cert / NiTEC, any field.                                                                                 * 2 years Full Time Continuous working experience in HR. Qualified applicants can email their CVs to: hr@theconnoisseurconcerto.com                                                                       or Whats App  to  Andy ( 9873 2065 )    include : current & expected salary and recent foto . •  SINGAPOREANS ONLY NEED APPLY                                                                                                                                   n b : Only shortlisted applicants will be notified .",HR Admin work ,"$1,700 - $1,800"
CREDIT SUISSE AG,Asia Ambition LMR Delivery Lead #113615,"Asia Ambition LMR Delivery Lead #113615 Credit Suisse Company Overview As one of the world's leading financial services group, Credit Suisse provides its clients with investment banking, private banking and asset management services worldwide.  Founded in 1856, Credit Suisse has a long tradition of meeting the complex financial needs of a wide range of clients, offering advisory services, comprehensive solutions and innovative products to companies, institutional clients and high-net-worth private clients globally. The Credit Suisse Group is active in over 50 countries and employs approximately 46,000 people.  Further information can be found at www.credit-suisse.com. Further information can be found at www.credit-suisse.com We Offer…      Finance Change works across the entire CFO division to ensure that we execute the strategic design and implementation of any major changes to our processes and systems. In partnership with our key partners, we work to build ground breaking business solutions using our deep functional expertise. We aim to deliver strategic initiatives using leading project management and business analysis as we pursue our goal of protecting and improving shareholder value through optimizing the use of our financial resources.   Perform business analysis on Liquidity reporting requirements (Regulatory or Internal business driven) and impacts of changes.   Develop business and functional requirements and obtain timely sign-off by all respective parties.   Handle and actively participate in and contribute to all phases of the project lifecycle.   Work closely with the Users, line management, and IT groups throughout the various phases of the project.   Apply project management methodologies including project plans, risk mitigation, issue tracking and communication plans.   Prepare and maintain all project related status reports, chair project meetings, engage other departments and groups, as necessary, and manage all issues and risks through to resolution.   Establish strong working relationships and build partnerships with the Line and IT partners.   Participate in test planning, preparation and facilitate user testing.   Document and assist in training of end users with automated Regulatory filing.   Work closely with the Group Finance teams and related CFO Change teams, and be involved in the execution of various initiatives planned as part of the Book of Work.  ","You Offer…   You have work experience of 6 to 10 years in either the financial services industry or consulting industry.   You have demonstrated capability of executing change in a Financial Services organisation.   Your experience of working in change for Financial Accounting, Regulatory Reporting or Risk Reporting systems and processes is preferred.   You have driven change management and/or process re-engineering efforts.   You have proven business analysis skills, including business and functional specification development.   You have strong attention to detail.   Experience in Liquidity reporting will be an advantage.   Experience in Axiom tool will be an advantage.   Experience in projects driving efficiency and innovation.   Experience with MS Project, PowerPoint, Visio and Excel.   Good management, planning and organizational skills.   You have deep knowledge of Investment Banking business processes – front to back involvement in managing change.   Experience in dealing with senior management.   You have strong Project management experience.   You have strong analytical skills.   Credit Suisse is an Equal Opportunity Employer and does not discriminate in its employment decisions on the basis of any protected category. ","$6,000 - $10,500"
SMRT SERVICES PTE. LTD.,Station Facilities Maintenance Officer,"Reporting to the Senior Traffic Officer, the Technical Officer plays a key role in administering various contracts such as cleaning, pest control, horticulture, and refuse collection in SMRT MRT Stations. He or she will liaise with the contractors to maintain a healthy working relationship which translate into high facilities management standards in the Circle Line Stations. He or she will perform and carry out daily policing role in the Stations for works done by cleaning, horticulture, pest control, and refuse collection contractors, and ensure that all works are carried out are in accordance with the relevant Quality Procedures, Specifications & Standards, Work Safety requirements and Railway Operation procedures.   1. Administer, perform and carry out policing of various contracts such as cleaning, pest control, horticulture, and refuse collection in allocated SMRT stations and depot. 2. Oversee the whole payment process for the contractors and ensure a timely and accurate payment every month. 3. Carry out the role of Person In Charge (PIC) duties and responsibilities. 4. Liaise with the cleaning contractors and build a healthy working relationship with them. 5. Plan and monitoring of cleaning schedule of cleaners. 6. Carry out regular inspection on cleaners and cleaning work done for QA/QC purpose 7. Prepare and raising of reports and orders such as Work Orders, Request for Work, Variation Orders and Purchase Requisition. 8. Actively review the contract specifications and assist to call for new tender when contract duration is up. 9. Ensure new instructions, circulars, memos and adhoc information are conveyed to the team and contractors in a timely manner. 10. Ensure that all works are carried out are in accordance with the relevant Quality Procedures, Specifications & Standards, Work Safety requirements and Railway Operation procedures. 11. Be required to conduct regular inspection of the stations and premises to ensure that the stations and premises maintain high cleaning and housekeeping standards. 12. Investigate and provide support on investigative works for unforeseen cases, incidences and handle follow-up actions on the recommendation to prevent recurrence. 13. Maintaining of proper records of all activities/events and applying for permit to work. 14. Compile the liquidated damages to be served to the contractors. 15. Arrange with various contractors to spruce up premise for VIP visit. 16. Conduct meetings with internal and external business parties. 17. Perform other tasks assigned by supervisors.","•Candidate must possess at least a Professional Certificate/NiTEC, Property Development/Real Estate Management or equivalent. •At least 2 year(s) of working experience in the related field is required for this position. •Preferably Non-Executives specializing in Maintenance/Repair (Facilities & Machinery) or equivalent.  ","$1,900 - $2,900"
PURPUR WEAR,fashion designer,"- Design, research, source, plan and develop sophisticated product collection for each season. - Perform competitiveness study on merchandise and materials. - Perform analysis on feedback and sales data to understand customers' needs. - Conduct market and online research and keep up to date with emerging current and future trends. - Liaise with factories and offices based overseas. - Assist in marketing team with campaigns.",- Keen sense of fashion and have a passion for the fashion industry with strong interest in fashion styling. - Possess excellent fashion sense and market sensitivity. - Posses initiative and drive as well as be result oriented in a fast paced environment.  - Strong knowledge of fashion and market trends. - Multi-task in a fast paced working environment. - With or without working experience or relevant subjects. - Able to travel for work. - Good command of written and spoken to liaise with English and Mandarin speaking associates.    ,"$1,800 - $3,000"
AAYTOZEE @ HILLVIEW PTE. LTD.,Speech Therapist,"The Speech Therapist uses a series of assessment methods to diagnose and manage disorders of communication. These disorders may include developmental language delay, articulation disorder, phonological disorder, stuttering, specific language impairment and cognitive communication disorder. Other aspects of the role include diagnosing and managing feeding and swallowing disorders in order to ensure adequate nutrition and hydration. ·         Assess and identify the individual needs of clients by using specific assessment tools ·         Formulate, develop and implement appropriate programs to individual learning needs ·         Monitor and evaluate clients’ individualize needs and progress ·         Be part of the Multi-disciplinary team of various disciplines in the program ·         Educate and Train caregivers in carrying out home therapy and program ·         Keep abreast of current research and trends and assist in data collection and support action research                 activities",·         Recognised Diploma / Bachelor Degree in OT / ST / Psy ·         Registered or eligible for registration with the Allied Health Professional Council in Singapore as Full or                   Conditional Registrant. (This is only applicable to OT & ST) ·         Fresh graduates are welcome to apply,"$4,500 - $6,000"
SEARCH PERSONNEL PRIVATE LIMITED,Project Manager," Accountable for overall performance of the project Accountable for planning and deployment of resources such as manpower, machinery, equipment and material Accountable for workplace safety and health of employees at project site Ensures project is completed within the specific time and budget and meet all clients’ and quality, environmental, health and safety requirements Ensures project disputes / clarifications are settled during the executive of project Ensures settlement of project final accounts at the end of the contract Approves procurement expenditures, petty cash and payments to subcontractors including communicating relevant quality, environmental and OHS procedures, and requirements to suppliers and subcontractors Liaise with clients, consultant, subcontractor, suppliers and government authorities on project-related issues, when necessary Be mentor to project site staff Attends site meetings Attends project execution meetings and reports on project matters Prepares and attends 6-monthly project budget presentation and review Prepares 6-monthly IMS audit reports Chairs Safety and Health coordination meetings Performs other duties as assigned   ", Recognized degree in Civil / Structural Engineering 10 years relevant civil experience as Project Manager Preferably with experience in LTA Works such as Roads & Flyovers Applicants with more years of experience will be considered for Project Engineers position Proficiency in computerized drafting / design software and AutoCAD ,"$8,000 - $10,000"
KIM ANN ENGINEERING PRIVATE LIMITED,Sales Coordinator,Responsibilities   - Handle order taking and processing  - Attend to customer's inquiries regarding products and services  - Make an offer and prepare quotation to customers  - Arrange and ensure that delivery is scheduled to meet customer's requirement  - Maintain confidentiality of business information,"Requirement  - Nitec/ Higher Nitec/ Diploma in any discipline - Candidate with technical background will be an added advantages - At least 1 year working experience in similar field - 5 days work per week - Willing to work at Joo Koon , Jurong area  Interested candidates please email your detailed resumes with current and expected salary to kahrd@kimann.com    ","$1,600 - $2,500"
KERRY CONSULTING PTE. LTD.,Investment and Planning lead – Global Energy trading MNC,"• M&A and Investment  • APAC coverage • Newly created  This is an integrated player in the Oil & Gas industry, with a diversified business portfolio including mid-downstream, trading and retail activities. Due to business expansion, an opportunity has arisen for an Investment and planning lead to join the team.   Reporting to the Head of Investments, the lead will play an integral role in building financial models, due diligence and research to aid management in identifying investments, M&A and divestment opportunities. He/ She will also regularly update senior management on latest market opportunities and industry studies/ reports. Post-acquisition, the team will continue to monitor and review the operational performance of the investments/ projects, and present quarterly analysis to senior management.","The successful candidate will be a degree holder in finance or numerate discipline, with 6 years’ work experience in financial modelling, due diligence within the areas of investment or corporate finance. Candidates with prior experience working in an oil and gas environment and have qualifications in CA/ CFA will have a distinct advantage. You will also hone strong business acumen, is analytical, detailed and has the ability to navigate around ambiguity.   To apply, please submit your resume to Alsa Chia at AL@kerryconsulting.com, quoting the job title and reference number AL14176. We regret that only successfully shortlisted applicants will be contacted.   Licence No: 16S8060 Registration no: R1765623     Type of Work: Permanent Region: Singapore Licence No: 16S8060",None
KERRY CONSULTING PTE. LTD.,APAC Market Risk Manager – Commodities Trading,"• Leading integrated agriculture MNC • Regional exposure • Strong internal stakeholders’ management  This is a leading commodities trading MNC with a global headcount of more than 1,000 employees. Singapore serves as the Asia Pacific Headquarters. The Company is looking to hire a high caliber Market Risk Manager to lead the market risk and middle office team.  Reporting directly to the global head of risk, the Market Risk Manager will play an integral role in establishing the market risk capabilities and governance framework of the agriculture trading division. Working closely with senior stakeholders in market execution and trading, he/ she will also provide risk analytics support on trading strategies and risk mitigation. In addition, the Market Risk Manager will also be involved in the daily reporting of exposure and PnL, price curves construction and monitoring of VaR. "," The successful candidate will be degree qualified in a finance/business discipline with at least 8-10 years of market risk experience in a commodities trading environment. You will be analytical, solution-oriented, meticulous and pragmatic. To succeed in the role, good communication, and interpersonal skills will be highly desirable.  To apply, please submit your resume (in word format) to Alsa Chia at AL@kerryconsulting.com, quoting the job title and reference number AL14232. Only successful shortlisted candidates will be notified.  Licence No: 16S8060 Registration no: R1765623    Type of Work: Permanent Region: Singapore Licence No: 16S8060",None
FRONTIER FORCE TECHNOLOGY PTE LTD,Network Engineer - Contract,"  Deploy, manage and support IT networking equipment  Manage network management systems  Familar with cisco networking solutions  Maintain network documentation  Involve in network troubleshooting  Able to administer firewall, configure firewal policies  Implement backup procedure for network equipment    ",  Degree or Diploma in IT related courses  CCNA and above is preferred  Min 2 years of related working experience ,"$2,500 - $3,800"
MYREPUBLIC LIMITED,"Director Customer Operations, Enterprise Services"," COMPANY DESCRIPTION  Company Description MyRepublic is on the front lines of the biggest transformation the telecommunications industry has seen in decades - and we’re loving it. The Next Generation National Broadband Network (NBN) is a great opportunity for small businesses to shake things up and we couldn’t be prouder to get involved. We are currently offering the world’s fastest fibre broadband at 1GBps and shaking the market both here in Singapore as well as Australia and New Zealand.   For more information, please visit http://www.myrepublic.com.sg  RESPONSIBILITIES  Job Requirements   The primary objectives of the Director Customer Operations, Enterprise Services are:    Assist the Managing Director Enterprise with P&L and team leadership Develop and lead the Service management strategy for our Business customers across the APAC region. Manage the Enterprise Service Management team to Group established KPIs/KQIs Manage the teams for all Customer orders from approval through to on time completion, including both simple order cycle time through to complex, multi-site orders. Lead the Services Management team supporting Post-Sales Operations for our Enterprise business in both fixed and wireless services Manage the CeX program for Enterprise services across the region with support from Group Lead the requirements gathering, implementation and ongoing operation of all related systems to support customers Manage all 3rd party providers/partners and internal support groups to agreed SLAs    Specific responsibilities include:    Lead the Enterprise Service Management teams:     Manage Enterprise Post-Sales Customer Operations to SLAs including Customer SLA reporting Delight our Business customers with world class post-Sales support Design and deliver on an excellent Customer Experience for our Enterprise customers Establish performance goals for individual team members which are challenging, achievable and tied to long-term goals Ensure operational readiness for all products and services, including leading the development of all Systems requirements through to final implementation and testing, ensuing training material is developed and knowledge base is updated Manage the Billing Operations and Revenue Assurance program for Enterprise Demonstrate continuous improvement to customer experience through standards based reporting and analytics       Ensure we deliver Services to customers on time and on budget     Manage the teams accountable to develop and manage detailed delivery / project plan, with agreement, understanding and support from all relevant stakeholders Manage business units within the organization to ensure smooth delivery of hardware, software, solutions and services to customers based on projects / orders requirement – business units may include Provisioning, Engineering, Finance, etc.       Service Provider Management     Manage Delivery of agreed SLA’s Review and analyse contractually required SLA reporting from Service Providers and ICT partners to identify trends and issues Track performance improvement plans to ensure issues are closed and performance returns to acceptable levels   ","Required Skills & Qualifications:    Hands-on Experience in leading industry related Service Management program Capacity to enforce accountability, develop and empower staff and delegate responsibility appropriately. The ability to lead by example. Ability to deal with people across all levels of the organization (both oral and written) Post-secondary education in related area of study Strong organisational skills, time management skills and negotiation skills Hands-on Experience in leading RSP Customer Operations Working knowledge and training on RSP broadband and mobility based services Business process focused with Customer Experience Management background ",None
LOURDES GAVIN PTE. LTD.,Procurement Executive (Healthcare / SAP)," Accountable for the timely processing of all order to ensure uninterrupted supply of goods and services Responsible for the sourcing and procurement of all supplies, services and equipment required for the effective operation of the institution Lead product and services sourcing project Analyse spend and requirements from user Execute the Invitation to Quote(ITQ) and Request for Proposal (RFP) Coordinate the evaluation of product and services Ensure that the procurement of products and services are always carried out in a fair and objective manner in compliance with procurement policies Analyse total cost of ownership, identify, evaluate and negotiate with participating suppliers Review the status of contracted activities and fulfilment of contracts together with users Establish and maintain contractual and business relationship with suppliers and monitor supplier performance Review and interpret vendors’ contract in consultation with company legal counsels for accuracy and completeness Communicate the terms and conditions of contract to suppliers and monitor and manage compliance with the contracts Maintain regular updates with suppliers and users on purchase and operational issues and ensure that problems are resolve quickly Any additional duties as and when directed by DD, Ops and AM, MMD "," Degree in procurement/ supply chain management / Logistic/ Business Administration Relevant experience in procurement and supply chain management in a healthcare provider’s environment would be an advantage Strong knowledge of governance and control in procurement process Highly proficient in Microsoft Office tools, SAP and Ariba eProcurement Possess strong interpersonal communication, proactive, analytical and negotiation skills Hands on person with high drive and problem-solving approach  Interested applicants please submit your resume to joepster.lim@lourdesgavin.com   ","$2,800 - $4,000"
AAP CONSULTING PRIVATE LIMITED,"CHEF - UP TO $5,500 + AWS + VB","Requirements:  Minimum Diploma Holder with 10 years of working experience 5 years of supervisory experience with good interpersonal and communication skills Proficient in Local/ Asian Cuisine, creative menu planning with cost management skills Able to work independently & as well as a team Able to commence work with short notice advantageous.    ","Others:  Up to $5,500 + AWS + VB ","$4,000 - $5,500"
